spare_code,division,grc_number,grc_date,spare_description,issue_qty,grc_pending_qty,dispute_remark,damaged_qty,short_qty,alt_spare_qty,alt_spare_code
S-38XXGSKETTANKCOM,WHC,916066080,2025-07-07,SWH 38XX GASKET TANK,10,10,WRONG SPARE RECEIVED,,1,2,S-101001660
S-43XX11INSTEMTC,WHC,916067042,2025-07-23,43XXSERIES 11 INCH THERMAL CUTOUT,10,10,,,0,0,
S-KBPRAV248CCR3S3B,FANS,916073210,2025-11-26,S-PKD BLD PR AVR2 1.2M CONCH CREAM 3B 3S,2,2,WRONG SPARE ISSUED,0,0,1,CFSBSBZ48LB1S
S-KBPRAV248IEC3S3B,FANS,916073210,2025-11-26,S-PKD BLD PR AVR2 1.2M ICE COFFEE 3B 3S,2,2,,0,0,0,
S-QUBE3J500WMOTR,SDA,916073823,2025-12-10,QUBE 3J 500W MAIN MOTOR,1,1,,0,0,0,
S-QUBE3J500WRYJAS,SDA,916073823,2025-12-10,QUBE 3J 500W DRY JAR ASSEMBLY,1,1,,1,0,0,
S-QUBE3J500WTOPCVR,SDA,916073823,2025-12-10,QUBE 3J 500W MG TOP COVER,1,1,,0,1,0,
S-DROELT1KJARCPLR,SDA,916073823,2025-12-10,DURO ELITE 1000W JAR COUPLER COM,2,2,,1,0,0,
S-DROELT1KMTRCPLR,SDA,916073823,2025-12-10,DURO ELITE 1000W MOTOR COPLER,2,2,NIL,0,0,1,ACGM-QUBE3JDUMMY
