id,spare_code,division,spare_description,indent_qty,indent_date,indent_number,party_name,order_number,order_date,remark,created_by
1,MB111PU12AAA001,PUMP,VOLUTE FOR N22/N22LV-VX(MP018),4,2025-12-31,I00001,U/G STOCK,NA,2025-12-31,NIL,D Manna
2,CSWJ1MU00AET053,PUMP,TERMINAL BOX COVER FOR CSWJ100/CSWJ50,5,2025-12-31,I00001,U/G STOCK,NA,2025-12-31,NIL,D Manna
3,CF111PU01AAQ001,PUMP,ADAPTER FOR MSMB,2,2025-12-31,I00002,S KADER,NA,2025-12-31,NIL,D Manna
4,CF111PU13AAE016,PUMP,IMPELLER FOR CFMSMB,4,2025-12-31,I00002,U/G STOCK,NA,2025-12-31,NIL,D Manna
5,CF111PU15AHR035,PUMP,FLOAT SWITCH FOR CFCHM & CFMSMB SERIES,8,2025-12-31,I00002,F HUSSAIN,NA,2025-12-31,NIL,D Manna
6,CAP111M024ACL040,PUMP,CAPACITOR OF MSMB - 15MFD,10,2025-12-31,I00002,U/G STOCK,NA,2025-12-31,NIL,D Manna
